SampleID,DataValue,DataLabel,ValID,Timestamp,UserID,UserName,ValValue,user_class,my_class,longitude,latitude
376891,2,Possibly Oil Palm,193752,11/30/18,599,Khairil Fahmi Faisal,10,"dryland forest, shrub, or grass",dry_veg,113.153118,-1.944056
376803,1,No Oil Palm,193574,11/30/18,106,Naikoa Aguilar-Amuchastegui,1,No Oil Palm,no_oil_palm,113.180862,-1.765624
376822,1,No Oil Palm,193577,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.19147,-1.871976
376824,1,No Oil Palm,193632,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.338078,-2.00036
376797,1,No Oil Palm,193639,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.15339,-2.041704
376817,1,No Oil Palm,193658,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.329374,-1.817032
376836,1,No Oil Palm,193695,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.17515,-1.747944
376815,1,No Oil Palm,193635,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.001886,-1.671512
376763,1,No Oil Palm,193651,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.10987,-1.959288
376897,2,Possibly Oil Palm,193672,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.100078,-1.857832
376804,1,No Oil Palm,193610,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.270894,-1.775144
376765,1,No Oil Palm,193661,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.342702,-1.862184
376805,1,No Oil Palm,193631,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.211326,-1.920392
376792,1,No Oil Palm,193636,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.291294,-1.676136
376780,1,No Oil Palm,193641,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.326926,-1.67668
376777,1,No Oil Palm,193657,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.29891,-1.85756
376844,1,No Oil Palm,193643,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.295374,-1.997096
376800,1,No Oil Palm,193691,11/30/18,599,Khairil Fahmi Faisal,1,No Oil Palm,no_oil_palm,113.299726,-2.004168
